procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1  0 241348 119432   2336  58116  191  220  2724   235  343  685  5  2 93  0  0
 2  0 241348 119432   2336  58116   44    0 21176     0 1846 4036 35 16 48  1  0
 4  0 241348 119432   2336  58116 3996 19620 10068 19620 3974 7451 74 25  0  1  0
 3  0 241348 119432   2336  58116    4 20148  8844 20148 2582 6604 81 19  0  0  0
 8  0 241348 119432   2336  58116  776 5708  2264  5708 1828 4785 77 14  8  1  0
10  0 241348 119432   2336  58116 5088 3976  5088  4020 3015 6742 36 19 43  2  0
 4  0 241348 119432   2336  58116  156    0   156    84 1682 4409 39  8 53  0  0
 7  0 241348 119432   2336  58116  328    0   328     0 1768 4954 37  8 55  0  0
11  0 241348 119432   2336  58116  400    0   400     0 1802 4499 46  7 47  0  0
10  0 241348 119432   2336  58116  308    0   308     0 1793 5133 48  8 44  0  0
10  0 241348 119432   2336  58116 1216 6564  1352  7292 2612 5624 44 16 38  1  0
 5  0 241348 119432   2336  58116   16    0    20    32 1876 5471 45  8 46  0  0
 2  0 241348 119432   2336  58116  184    0   184     0 2111 6191 49 10 40  0  0
 1  0 241348 119432   2336  58116   84    0    92     0 1921 5962 49  8 44  0  0
 1  0 241348 119432   2336  58116   68  296    68   296 2062 5931 41 15 44  0  0
 2  0 241348 119432   2336  58116   64    0    64    36 1852 5642 42  8 49  0  0
 4  0 241348 119432   2336  58116   92    0    92    16 2038 6195 43 12 44  0  0
 1  0 241348 119432   2336  58116  116    0   372     0 1823 5487 48 11 40  0  0
 1  0 241348 119432   2336  58116   16    0    16     0 1911 5798 46 11 44  0  0
 2  0 241348 119432   2336  58116  688    0   692     0 1760 4560 65  9 26  0  0
 1  0 241348 119432   2336  58116  192    0   192    20 1721 4907 44 12 45  0  0
 6  0 241348 119432   2336  58116   68    0    88    12 1470 4366 43 10 47  0  0
 3  0 241348 119432   2336  58116    8    0     8     0 1618 4793 38 11 51  0  0
 3  0 241348 119432   2336  58116  100    0   108     0 1620 4966 44  7 49  0  0
 1  0 241348 119432   2336  58116 2976 1540  2976  3996 2149 5572 48 15 37  1  0
 1  0 241348 119432   2336  58116 1972    0  1996     0 1825 4920 51  9 40  0  0
 1  0 241348 119432   2336  58116   44 3688   340  3720 2141 4646 55 15 30  0  0
 3  0 241348 119432   2336  58116  644    0  1064     0 1644 4707 41 10 48  0  0
 1  0 241348 119432   2336  58116   36    0    36     0 1624 5008 38 13 50  0  0
 1  0 241348 119432   2336  58116  492    0   496    20 1712 4944 40 12 48  0  0
 2  0 241348 119432   2336  58116  684    0   688     0 1967 5620 45 14 42  0  0
 1  0 241348 119432   2336  58116  524    0   588    28 1833 5244 44 11 44  1  0
 1  0 241348 119432   2336  58116  680    0   716     0 1998 5788 47 12 42  0  0
 1  0 241348 119432   2336  58116  176    0   180     0 1746 5111 46  9 44  0  0
 1  0 241348 119432   2336  58116   72    0   208    20 1734 5119 39 11 49  0  0
 2  0 241348 119432   2336  58116  800    0   932     0 1741 4824 48  8 44  0  0
 3  0 241348 119432   2336  58116  572    0   936    12 1986 5491 55 11 34  0  0
 3  0 241348 119432   2336  58116  648    0   648     0 1878 5189 45 12 43  1  0
 1  0 241348 119432   2336  58116  920    0   932  2228 1824 5248 42 11 46  0  0
 4  0 241348 119432   2336  58116   20    0    32    20 1544 4522 34 14 52  0  0
 1  0 241348 119432   2336  58116 1036    0  1036     0 1705 4705 39 14 46  1  0
 6  0 241348 119432   2336  58116  464    0   464    32 1579 4520 45 12 43  0  0
 1  0 241348 119432   2336  58116  836    0   836     0 1916 5390 49  8 43  0  0
 2  0 241348 119432   2336  58116 1016    0  1016     0 1798 5295 39 15 47  0  0
 1  0 241348 119432   2336  58116  128    0   132    20 1555 4601 39 11 50  0  0
 2  0 241348 119432   2336  58116 44380 21152 44380 21152 11609 23946 16 54 13 16  0
 2  0 241348 119432   2336  58116 27740 29092 31388 30140 8802 13810 46 44  0 10  0
 6  0 241348 119432   2336  58116 6500 13512 16108 13512 5091 7252 76 24  0  0  0
 3  0 241348 119432   2336  58116 46892 31440 47376 31660 9910 16603 49 49  0  3  0
 2  0 241348 119432   2336  58116 75292 107868 85912 107868 15031 20241 12 80  0  8  0
 6  0 241348 119432   2336  58116 29888 50584 46540 50584 11131 14679 42 58  0  0  0
 2  0 241348 119432   2336  58116 20696 7140 22424  7172 3672 8653 82 15  1  2  0
 2  0 241348 119432   2336  58116 6160 17384  7660 17708 4238 7264 79 21  0  0  0
 2  0 241348 119432   2336  58116  636    0  1400     0 2127 5395 92  8  0  0  0
 7  0 241348 119432   2336  58116 2460    0  2884     0 1767 3895 95  5  0  0  0
 5  0 241348 119432   2336  58116 1108    0  4472     0 1843 4228 90 10  0  0  0
10  0 241348 119432   2336  58116  460    0   508    32 1827 4280 91  9  0  0  0
 8  0 241348 119432   2336  58116 4500 3968  4720  3988 3185 6585 54 19 26  1  0
10  0 241348 119432   2336  58116 1252    0  1636     0 1719 2363 90  8  2  0  0
 2  0 241348 119432   2336  58116 6720 10532  7552 11852 4227 6655 77 22  0  1  0
 7  0 241348 119432   2336  58116 7136    0  7604     0 3390 6088 84 16  0  0  0
 7  0 241348 119432   2336  58116 3612 2268  5340  2300 2872 3697 90 10  0  0  0
 2  0 241348 119432   2336  58116  836    0  1132     0 2481 4433 91  9  0  0  0
 2  0 241348 119432   2336  58116  932    0  1720     0 2664 5481 77 14  9  0  0
 6  0 241348 119432   2336  58116 1044    0  2120    20 2837 5136 89 11  0  0  0
 7  0 241348 119432   2336  58116  696    0  2024     0 2259 3256 92  8  0  0  0
 2  0 241348 119432   2336  58116  164    0  1140    36 2068 3398 73  9 17  0  0
 2  0 241348 119432   2336  58116 5480 5532  7192  6572 4033 7786 74 20  6  0  0
 6  0 241348 119432   2336  58116 1244    0  1424     0 2476 3460 88 12  0  0  0
 8  0 241348 119432   2336  58116   28    0    28     0 1689 2241 93  7  0  0  0
 2  0 241348 119432   2336  58116  476    0   476     0 2322 4858 83 17  0  0  0
 2  0 241348 119432   2336  58116  740    0   780    32 2469 5068 87 13  0  0  0
 5  0 241348 119432   2336  58116  548    0   612    20 1945 3153 96  4  0  0  0
 4  1 241348 119432   2336  58116  500    0   520     0 1836 3283 89 11  0  0  0
 2  0 241348 119432   2336  58116  568    0   568     0 2052 4167 89 11  0  0  0
 2  0 241348 119432   2336  58116  248    0   252     0 2185 5104 73 10 17  0  0
 7  0 241348 119432   2336  58116  520    0   520    28 2169 4211 90  9  0  1  0
 7  0 241348 119432   2336  58116  364    0   432    20 1848 3449 91  9  0  0  0
11  0 241348 119432   2336  58116 1572  872  1572   872 1808 2875 92  8  0  0  0
 2  0 241348 119432   2336  58116  516    0   596     0 2081 4104 92  8  0  0  0
 2  0 241348 119432   2336  58116  184    0   488  2140 1955 4336 74 11 15  0  0
 2  0 241348 119432   2336  58116  284    0   356    32 1940 4188 91  7  2  0  0
 1  0 241348 119432   2336  58116  452 1732   584  1760 1957 3387 89  9  2  0  0
 4  0 241348 119432   2336  58116   52    0   200     0 1318 1976 80  3 16  0  0
 2  0 241348 119432   2336  58116   72    0   112     0 1951 4206 80  5 15  0  0
 3  0 241348 119432   2336  58116   68   16   100    16 1971 4259 92  8  0  0  0
 2  0 241348 119432   2336  58116   44   44   216    80 1912 4301 78 13  9  0  0
 4  0 241348 119432   2336  58116  464    0   652    20 1857 3704 93  7  0  0  0
 6  0 241348 119432   2336  58116  440    0   516     0 1602 2903 94  5  1  0  0
 2  0 241348 119432   2336  58116  512    0   512     0 1956 3534 88  7  5  0  0
 2  0 241348 119432   2336  58116  756    0   756     0 2222 4722 87 12  1  0  0
 2  0 241348 119432   2336  58116   36    0    52    12 1991 4574 81  9 10  0  0
 2  0 241348 119432   2336  58116  100    0   176    20 2009 4598 89  6  5  0  0
 8  0 241348 119432   2336  58116  168    0   232     0 1881 3958 90  9  1  0  0
 7  0 241348 119432   2336  58116  224    0   716     0 1717 2913 94  6  0  0  0
10  0 241348 119432   2336  58116  172    0   176  2128 1482 2478 89  6  5  0  0
 2  0 241348 119432   2336  58116   12    0   668    32 1898 4462 71  9 20  0  0
 2  0 241348 119432   2336  58116   60    0    60    20 1989 4609 77 11 12  0  0
 4  0 241348 119432   2336  58116  188    0   188     0 1844 4046 90  6  4  0  0
 8  0 241348 119432   2336  58116   52    0    68     0 1794 3478 92  8  0  0  0
10  0 241348 119432   2336  58116   60    0    60     0 1679 2874 95  5  0  0  0
 7  0 241348 119432   2336  58116   20    0    20    32 1563 2452 89  8  3  0  0
 4  0 241348 119432   2336  58116   20    0    20     0 1836 4097 78 10 12  0  0
 2  0 241348 119432   2336  58116   76    0    76    20 1931 4287 80 11  9  0  0
 2  0 241348 119432   2336  58116   20    0    20     4 1866 4381 80  7 13  0  0
