procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 7  0 187228  74364   1692  72580 19172 14128 35420 14172 6122 9768 66 34  0  0  0
 1  0 187228  74364   1692  72580 4976 4304  5576  4304 3632 8146 71 18 10  1  0
 1  0 187228  74364   1692  72580  484    0   588     0  583 1465 15  2 83  0  0
 1  0 187228  74364   1692  72580  504    0  2084     0 1051 2539 23  7 70  0  0
 1  0 187228  74364   1692  72580  584    0   584    20 1263 3363 28 10 62  0  0
 2  0 187228  74364   1692  72580 2852 4148  3812  4920 2166 4317 29 12 58  1  0
 4  0 187228  74364   1692  72580  160    0   168     0 1332 3399 32 11 57  0  0
 2  0 187228  74364   1692  72580  404    0   672     0 1580 4173 37 13 50  0  0
 1  0 187228  74364   1692  72580 5232 3756  5264  3756 2425 4908 43 14 43  0  0
 1  0 187228  74364   1692  72580 2176    0  2356     0 1721 4817 39  7 53  1  0
 2  0 187228  74364   1692  72580  112    0   276    32 1479 3935 34 13 53  0  0
 1  0 187228  74364   1692  72580  268    0   444    28 1289 3615 36 12 52  0  0
 1  0 187228  74364   1692  72580  220    0   344     0 1044 3017 34 10 56  0  0
 1  0 187228  74364   1692  72580 2348 4756  5392  5552 2066 4203 38 14 47  1  0
 1  0 187228  74364   1692  72580  260    0   648     0 1315 3976 34 11 55  0  0
 9  0 187228  74364   1692  72580 3844 3908  4396  4252 1901 4368 45 11 43  1  0
 3  0 187228  74364   1692  72580  164  112 54660   284 2655 4082 37 22 39  1  0
12  0 187228  74364   1692  72580   72   44 61236   200 2480 4268 34 22 44  0  0
 3  0 187228  74364   1692  72580  892   80 32400   144 2098 4352 39 15 47  0  0
12  0 187228  74364   1692  72580   12    4   612     4 1029 2609 35 23 42  0  0
 8  0 187228  74364   1692  72580 1284 1412  4180  1640 1739 3874 42 19 40  0  0
 2  0 187228  74364   1692  72580  172    0   348     0 1337 3799 37 11 52  0  0
 1  0 187228  74364   1692  72580   80    0   448     0 1291 3624 39  8 52  1  0
 1  0 187228  74364   1692  72580  100    0   572     0 1159 3315 34 11 55  0  0
 2  0 187228  74364   1692  72580 8100 6664  8360  7176 2995 5921 36 18 46  0  0
 3  0 187228  74364   1692  72580  176    0   976    32 1136 3282 36  8 56  0  0
 1  0 187228  74364   1692  72580  176    0   248     0 1171 3277 37  9 54  0  0
 1  0 187228  74364   1692  72580   52    0    52     0 1120 3206 32 12 56  0  0
 2  0 187228  74364   1692  72580 4212    0  4212     0 2045 5645 41 11 47  1  0
 1  0 187228  74364   1692  72580 7748 8848 12308  9320 3751 6929 36 21 40  4  0
 2  0 187228  74364   1692  72580  660    0  4020    36 1367 3480 38  8 54  0  0
 1  0 187228  74364   1692  72580   32    0   160     0 1216 3574 37 10 53  0  0
 2  0 187228  74364   1692  72580  336    0   416     0 1171 3236 39  5 56  0  0
 1  0 187228  74364   1692  72580  332    0  1324     0 1197 3347 39  8 53  0  0
 1  0 187228  74364   1692  72580  152    0   508    20 1270 3664 36  9 55  0  0
 2  0 187228  74364   1692  72580  528 3340  3316  4076 1757 3830 33 15 51  1  0
 1  0 187228  74364   1692  72580   44    0  6144     0 1352 3442 33 10 57  0  0
 1  0 187228  74364   1692  72580  464    0  1224     0 1269 3580 34  7 59  0  0
