procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1  0 237824  72596   5692  79588  146  172  2946   182  275  514  3  2 95  0  0
 5  0 237824  72596   5692  79588    0    0     0     0 1333 3023 34  9 57  0  0
 1  0 237824  72596   5692  79588  600    0   600     0 1363 3195 34 11 55  0  0
 2  0 237824  72596   5692  79588    0    0     0     0 1302 3207 31  5 64  0  0
 1  0 237824  72596   5692  79588  688    0   688     0 1411 3571 35 12 52  1  0
 9  0 237824  72596   5692  79588  160 44156 26652 44188 5928 7324 61 34  5  0  0
 5  0 237824  72596   5692  79588  448 1428  5812  1428 2120 7222 87 12  0  1  0
10  0 237824  72596   5692  79588 1604 3788  8952  4536 2434 7313 88 12  0  0  0
 2  0 237824  72596   5692  79588  272 1448   956  1592 2175 5838 61 12 27  0  0
 3  0 237824  72596   5692  79588  320    0   332    60 1636 4910 43  6 51  0  0
 2  0 237824  72596   5692  79588  744    0   880     0 1619 5007 37 10 52  1  0
 1  0 237824  72596   5692  79588    4    0     4     0 1520 4894 34  9 57  0  0
 1  0 237824  72596   5692  79588   40    0    40     0 1459 4413 39 10 51  0  0
 2  0 237824  72596   5692  79588  312    0   328    20 1478 4420 42  7 51  0  0
 2  0 237824  72596   5692  79588  228    0   228    16 1423 4114 34  7 59  0  0
 1  0 237824  72596   5692  79588  588    0   588     0 1561 4584 31  8 61  0  0
 1  0 237824  72596   5692  79588    8    0    28     0 1338 4134 31  5 64  0  0
 1  0 237824  72596   5692  79588  168    0   168     0 1339 4043 31  7 62  0  0
 3  0 237824  72596   5692  79588  268    0   268    20 1168 3620 35  5 60  0  0
 3  0 237824  72596   5692  79588  868  792   868   808 1484 4244 41  7 52  0  0
 1  0 237824  72596   5692  79588 1740 3752  2076  3752 1970 4268 39 12 48  1  0
 2  0 237824  72596   5692  79588  416    0   428     0 1262 3818 37  9 54  0  0
 2  0 237824  72596   5692  79588    0    0     0     0 1352 3986 44  7 48  0  0
 2  0 237824  72596   5692  79588  444    0   444    20 1424 4085 39  9 52  0  0
 1  0 237824  72596   5692  79588    4    0    60    16 1348 4100 38 11 51  0  0
 2  0 237824  72596   5692  79588  628    0   628     0 1473 4207 41 10 49  1  0
 1  0 237824  72596   5692  79588  224    0   224     0 1316 4055 42 10 48  0  0
 1  0 237824  72596   5692  79588    8    0    20     0 1464 4564 38 12 50  0  0
 3  0 237824  72596   5692  79588  732    0   732    20 1628 4667 45  8 47  0  0
 7  0 237824  72596   5692  79588  672 2464  1036  5204 1743 3920 53 12 34  1  0
 1  0 237824  72596   5692  79588   12    0  3240    32 1600 4585 42 11 47  0  0
 1  0 237824  72596   5692  79588  760    0   760     0 1494 4424 38 12 49  0  0
 7  0 237824  72596   5692  79588  280    0   384     0 1445 4170 40  9 51  0  0
 2  0 237824  72596   5692  79588  492    0   716     0 1348 4000 41  5 54  0  0
 3  1 237824  72596   5692  79588  436    0   540    36 1515 4450 43  9 47  1  0
 4  0 237824  72596   5692  79588   16    0    32     0 1352 4017 41  7 52  0  0
 4  0 237824  72596   5692  79588  816    0   816     0 1388 4051 39 11 49  0  0
 4  0 237824  72596   5692  79588 1032    0  1036     0 1537 4340 40  9 49  1  0
 1  0 237824  72596   5692  79588   12    0    44     0 1333 3896 38  9 53  0  0
 1  0 237824  72596   5692  79588  728    0   940    20 1300 3703 39  9 52  0  0
 1  0 237824  72596   5692  79588   12    0   236    16 1308 3640 36 10 53  0  0
 3  0 237824  72596   5692  79588  840    0   840     0 1586 4624 41 10 48  1  0
 6  0 237824  72596   5692  79588    8    0    20     0 1432 4086 42 12 47  0  0
 1  0 237824  72596   5692  79588    4    0     4     0 1364 3987 41  7 52  0  0
 1  0 237824  72596   5692  79588 1604    0  1604     0 1507 4289 43  7 50  0  0
 1  0 237824  72596   5692  79588  924    0   928  1824 1451 4082 41 10 49  0  0
 3  0 237824  72596   5692  79588    0    0     0     0 1345 4137 36 11 53  0  0
 2  0 237824  72596   5692  79588  228    0   228     0 1408 4357 37  7 55  1  0
 4  0 237824  72596   5692  79588    8    0   120     0 1286 3924 40  9 51  0  0
 1  0 237824  72596   5692  79588   76    0    76     0 1422 4019 46 10 45  0  0
 6  0 237824  72596   5692  79588    0    0    24    52 1500 4234 41 10 48  0  0
 6  0 237824  72596   5692  79588    4 8556     4  8556 2187 4054 36 13 51  0  0
 3  0 237824  72596   5692  79588  316    0   316     0 1483 4129 37  9 54  0  0
 3  0 237824  72596   5692  79588  448    0   484     0 1610 4265 38 13 49  0  0
 7  0 237824  72596   5692  79588   48    0    48     0 1520 3819 41  9 50  0  0
 3  0 237824  72596   5692  79588 1588 2480  1588  2520 2119 5001 50 13 37  0  0
 4  0 237824  72596   5692  79588    0    4  1776  1396 1776 4161 46 13 40  0  0
 5  0 237824  72596   5692  79588  732    0   764     0 1756 4144 39 14 45  1  0
 4  0 237824  72596   5692  79588  668    0   888     0 1845 3932 39 12 49  0  0
 3  0 237824  72596   5692  79588    0    0   236     0 1919 4375 39 12 50  0  0
 7  0 237824  72596   5692  79588 1732    0  1732    32 2104 4785 34 11 54  1  0
 2  0 237824  72596   5692  79588    4    0    36    20 2022 4787 37 11 52  0  0
 6  0 237824  72596   5692  79588 1792    0  1848     0 2122 4933 33 18 48  1  0
 3  0 237824  72596   5692  79588 2356    0  3032     0 2325 5487 38 17 45  1  0
 1  0 237824  72596   5692  79588    8    0     8     0 1679 4021 38 13 50  0  0
 1  0 237824  72596   5692  79588  872 7992  1948  9104 2983 4896 46 20 33  0  0
 1  0 237824  72596   5692  79588  412    0  2172     0 1686 4041 33 12 55  0  0
 1  0 237824  72596   5692  79588    0    0   388     0 1459 3936 39 11 49  0  0
 2  0 237824  72596   5692  79588  116    0  1032     0 1532 4041 39 10 51  0  0
 2  0 237824  72596   5692  79588    0    0    48     0 1426 3918 35 12 54  0  0
 3  0 237824  72596   5692  79588  912    0  1572    52 1681 4814 39 12 46  2  0
 2  0 237824  72596   5692  79588 21932 17144 22212 17144 6867 11926 35 31 28  5  0
 3  0 237824  72596   5692  79588 58376 42032 58424 42808 16528 27955  6 77  0 17  0
 3  0 237824  72596   5692  79588 44264 41536 50152 41536 12352 18008 30 59  0 10  0
 3  0 237824  72596   5692  79588 73112 61500 74716 61500 17225 21606  7 88  0  5  0
 3  0 237824  72596   5692  79588 73524 55452 79684 55532 17452 22040  4 92  0  4  0
 3  0 237824  72596   5692  79588 52128 51664 60776 51696 16356 22852  8 85  0  7  0
 3  0 237824  72596   5692  79588 65960 57072 80312 57072 17283 23387  3 95  0  2  0
 3  0 237824  72596   5692  79588 43836 49544 56640 49544 16158 22699 13 85  0  2  0
10  0 237824  72596   5692  79588 46784 44784 63436 44788 15153 23580 15 74  0 10  0
 9  0 237824  72596   5692  79588 38636 39500 50636 39524 13036 16740 31 69  0  0  0
 8  0 237824  72596   5692  79588 28828 34404 40396 34564 10856 14120 44 56  0  0  0
 2  0 237824  72596   5692  79588 4720 5296  7968  5584 3792 8928 78 21  1  0  0
 2  0 237824  72596   5692  79588  740    0  6452     0 2142 5476 49 13 38  0  0
 1  0 237824  72596   5692  79588  740    0  1808     0  800 2075 22  6 72  0  0
 3  0 237824  72596   5692  79588  248    0   580    36 1236 3282 27  6 67  0  0
 2  0 237824  72596   5692  79588 2828 3004  4828  3544 2492 4891 28 15 56  1  0
 2  0 237824  72596   5692  79588 1540    0  2356     0 1778 4248 30 11 59  0  0
 3  0 237824  72596   5692  79588 7352 7948 10492  8244 3852 6842 39 20 38  3  0
 2  0 237824  72596   5692  79588 3276 3308 21764  3460 3254 6153 44 17 37  1  0
 1  0 237824  72596   5692  79588 1120  776 22700  1052 2411 4925 41 17 40  1  0
 1  0 237824  72596   5692  79588  908  760 24412   764 2458 4943 41 17 42  0  0
 7  0 237824  72596   5692  79588 1220  380 17424   628 2041 3236 61 34  5  0  0
 1  0 237824  72596   5692  79588 2392 2720 22284  2948 3113 6126 55 17 28  0  0
 5  0 237824  72596   5692  79588 4040 4676 18488  4800 2971 5585 34 20 42  3  0
 1  0 237824  72596   5692  79588  928  356  8628   388 1864 4711 40 12 48  0  0
 1  0 237824  72596   5692  79588  140    0   940     0 1430 4088 42  9 50  0  0
 3  0 237824  72596   5692  79588  216    0   976     0 1415 4085 38 11 49  1  0
 9  0 237824  72596   5692  79588  160 1252  6028  1764 1678 3876 31 19 50  0  0
 4  0 237824  72596   5692  79588 1748  176  3872   176 1803 4652 43  8 48  0  0
 5  0 237824  72596   5692  79588  584    0  1972    32 1567 4211 37 10 53  0  0
 3  0 237824  72596   5692  79588   52 1904  5344  2304 1834 4158 37 13 50  0  0
 5  0 237824  72596   5692  79588  360  144  8760   148 1753 4481 35 13 52  0  0
 2  0 237824  72596   5692  79588  392    0  3724     0 1532 4125 37 14 50  0  0
 3  0 237824  72596   5692  79588   44    0   104     0 1321 3829 40  8 52  0  0
 2  0 237824  72596   5692  79588  296    0   508    36 1424 4132 40 11 49  0  0
 2  0 237824  72596   5692  79588    0    0     0    40 1270 3628 39  6 55  0  0
 5  0 237824  72596   5692  79588  364 1020 10588  1628 1911 4211 41 13 45  1  0
 4  0 237824  72596   5692  79588  476    0  5708     0 1512 4117 29 10 61  0  0
 3  0 237824  72596   5692  79588   40  432  1976   736 1462 4037 38 12 50  0  0
 1  0 237824  72596   5692  79588 10724 8180 18824  8216 4513 8326 38 27 34  0  0
 3  0 237824  72596   5692  79588  848    0  5456     0 1682 4389 42  9 49  0  0
 1  0 237824  72596   5692  79588    8    0   308     0 1318 3907 34 10 55  0  0
 1  0 237824  72596   5692  79588  216    0  2184     0 1566 4512 38 10 51  1  0
 4  0 237824  72596   5692  79588   96    0   788    20 1380 3943 38 14 48  0  0
 1  0 237824  72596   5692  79588  144    0   296    16 1515 4080 40 11 49  0  0
 4  0 237824  72596   5692  79588   92    0    92     0 1664 4293 43 11 47  0  0
 1  0 237824  72596   5692  79588   32    0   164     0 1331 3524 37 11 52  0  0
 1  0 237824  72596   5692  79588   48    0    48     0 1807 4416 43  8 49  0  0
 1  0 237824  72596   5692  79588  424    0   508    20 1873 4569 40 13 46  0  0
 2  0 237824  72596   5692  79588  176 1788  3772  3196 2055 4373 34 15 51  0  0
 1  0 237824  72596   5692  79588  184    0  4992     0 2045 4556 40 14 47  0  0
 1  0 237824  72596   5692  79588   76    0   172     0 1780 4154 37 12 51  0  0
 3  0 237824  72596   5692  79588  740    0   744     0 1940 4426 42 12 46  0  0
 1  0 237824  72596   5692  79588  828    0   828     0 1863 4210 38 12 49  1  0
 1  0 237824  72596   5692  79588   12    0   232    40 1779 3996 33 18 49  0  0
 1  0 237824  72596   5692  79588  176 1812  1752  2488 2042 4070 42 13 45  0  0
 4  0 237824  72596   5692  79588 1248    0  3336     0 2123 4876 41 14 44  0  0
 1  0 237824  72596   5692  79588  288    0  1972     0 1899 4498 45 11 43  1  0
 1  0 237824  72596   5692  79588  232    0   232     0 1762 4259 43  9 48  0  0
 6  0 237824  72596   5692  79588   28    0  1012    32 1581 4042 41  5 54  0  0
 5  0 237824  72596   5692  79588  160    0   184    20 1578 4094 35 13 52  0  0
 2  0 237824  72596   5692  79588  204    0   276     0 1485 4162 38  9 53  0  0
 1  0 237824  72596   5692  79588   20    0    20     0 1355 3819 39  9 52  0  0
 3  0 237824  72596   5692  79588  308    0   324     0 1661 4660 39 12 48  0  0
 3  0 237824  72596   5692  79588 1728 3000  3240  4188 2221 4661 44 14 42  0  0
 1  0 237824  72596   5692  79588 7208 6436  8268  6436 3431 6901 49 18 28  4  0
 1  0 237824  72596   5692  79588  268    0   732     0 1469 4127 44  9 47  0  0
 5  0 237824  72596   5692  79588   12    0    12     0 1375 3896 40  9 51  0  0
 1  0 237824  72596   5692  79588   32    0    32     0 1323 3744 39  7 54  0  0
 4  0 237824  72596   5692  79588  108    0   224    36 1331 3675 39 10 51  0  0
 2  0 237824  72596   5692  79588   60    0   420     0 1349 3796 38 11 51  0  0
 3  0 237824  72596   5692  79588   96    0   148     0 1223 3666 36  9 55  0  0
 1  0 237824  72596   5692  79588   12    0    36     0 1420 4103 42  8 50  0  0
 4  0 237824  72596   5692  79588   20    0    20     0 1202 3384 36 10 54  0  0
 1  0 237824  72596   5692  79588  120    0   124    36 1470 4185 48  8 45  0  0
 7  0 237824  72596   5692  79588  256  108   260   108 1421 4046 41  8 50  0  0
 1  0 237824  72596   5692  79588   52    0    52     0 1408 4230 40 11 50  0  0
 1  0 237824  72596   5692  79588  484    0   500     0 1451 4023 40 11 49  0  0
 1  0 237824  72596   5692  79588   12    0    12     0 1315 3750 39  6 55  0  0
 4  0 237824  72596   5692  79588  788    0  3760  1828 1492 4095 32 13 54  1  0
 4  0 237824  72596   5692  79588   12    0    12     0 1260 3641 32  8 60  0  0
 1  0 237824  72596   5692  79588  612    0   612     0 1533 4607 27 10 63  0  0
MEDIA
NR:  155 CPU:  54.1307
