procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1  0 156424 155908   1900  73356  432    0   432     0 1052 2933 33  9 58  0  0
 3  0 156424 155908   1900  73356  152    0   152     0 1141 3127 31  8 60  0  0
 1  0 156424 155908   1900  73356  768    0   768     0 1217 3397 34 11 54  1  0
 1  0 156424 155908   1900  73356   68    0    68    52 1051 3160 35  8 57  0  0
 1  0 156424 155908   1900  73356   92    0    92     0 1028 2977 35  6 59  0  0
 1  0 156424 155908   1900  73356   28    0    28     0  951 2742 31 10 59  0  0
 1  0 156424 155908   1900  73356  128    0   128     0 1047 3038 33  9 58  0  0
 1  0 156424 155908   1900  73356   60    0    60     0  968 2821 31  6 63  0  0
 1  0 156424 155908   1900  73356   16    0    28    48 1246 3830 35 13 52  0  0
 6  0 156424 155908   1900  73356   28    0    28     0  946 2636 31  9 60  0  0
 7  0 156424 155908   1900  73356    8    0     8     0 1082 3040 32 10 58  0  0
 8  0 156424 155908   1900  73356   16    0    36     0 1075 3010 32 10 57  0  0
 4  0 156424 155908   1900  73356    4    0     4     0  987 2799 33  6 61  0  0
 1  0 156424 155908   1900  73356  132    0   148    48 1052 3083 39  9 52  0  0
 1  0 156424 155908   1900  73356  148    0   148     0 1140 3478 36 10 54  0  0
 4  0 156424 155908   1900  73356 2180 15320  2216 15320 1457 3103 40 12 48  0  0
 2  0 156424 155908   1900  73356  196 2376   196  2376 1100 2991 33  8 59  0  0
 1  0 156424 155908   1900  73356  224    0   224     0 1064 3064 33  9 58  0  0
 1  0 156424 155908   1900  73356   68    0    68    40  988 2905 35  6 59  0  0
 1  0 156424 155908   1900  73356   56    0    76     0 1044 3004 31  9 60  0  0
 1  0 156424 155908   1900  73356  260    0  1140     0 1084 3043 35  6 59  0  0
 2  0 156424 155908   1900  73356 1132    0  1148     0 1241 3557 37  7 55  1  0
 3  0 156424 155908   1900  73356  300    0   320     0 1206 3552 31 10 58  0  0
 7  0 156424 155908   1900  73356   76    0    76    44  974 2778 29  9 62  0  0
 5  0 156424 155908   1900  73356   52    0    64     0 1056 3075 30 11 59  0  0
 3  0 156424 155908   1900  73356  248    0   412     0 1154 3309 35  9 56  0  0
 1  0 156424 155908   1900  73356    8    0     8     0 1090 2834 26  7 67  0  0
 2  0 156424 155908   1900  73356   16    0    16     0 1016 2846 28  6 66  0  0
 2  0 156424 155908   1900  73356   12    0    12    20 1013 2843 22  9 68  0  0
 2  0 156424 155908   1900  73356  216    0   216  2272 1112 3265 33  8 59  0  0
 1  0 156424 155908   1900  73356  164    0   164     0 1112 3150 34  9 57  0  0
 1  0 156424 155908   1900  73356   16    0    16     0  984 2728 33  6 61  0  0
 1  0 156424 155908   1900  73356   40    0    40     0 1015 2775 31  7 61  0  0
 1  0 156424 155908   1900  73356    8    0     8    36 1069 3002 30 10 60  0  0
 1  0 156424 155908   1900  73356  240    0   264    40 1035 3073 34  6 60  0  0
 3  0 156424 155908   1900  73356   44    0    68     0 1035 2955 35  9 56  0  0
 3  0 156424 155908   1900  73356  152    0   152     0 1049 3107 37  8 55  0  0
 2  0 156424 155908   1900  73356   76    0    76     0 1098 3171 32 10 58  0  0
 2  0 156424 155908   1900  73356   20  980    20  1000  997 2615 28 10 62  0  0
 1  0 156424 155908   1900  73356   32  200    32   220 1144 3405 32 12 56  0  0
 1  0 156424 155908   1900  73356   24    0    24     0  996 2870 32  9 59  0  0
 2  0 156424 155908   1900  73356   40    0   104     0 1169 3353 36  8 56  0  0
 1  0 156424 155908   1900  73356 1664    0  1920     0 1395 3601 39 13 47  1  0
 2  0 156424 155908   1900  73356   32  168    32   188 1011 2703 31  5 64  0  0
 1  0 156424 155908   1900  73356  840 2700   852  2720 1471 3301 37 12 51  0  0
 1  0 156424 155908   1900  73356  200    0   240     0 1196 3057 31 10 59  0  0
 1  0 156424 155908   1900  73356   56    0    56     0 1152 2876 30 11 59  0  0
 2  0 156424 155908   1900  73356   32    0    32     0 1262 3173 30 10 59  0  0
 1  0 156424 155908   1900  73356   28    0    28    20 1276 3178 35 10 55  0  0
 3  0 156424 155908   1900  73356   44    0    52    20 1377 3517 31 14 55  0  0
 5  0 156424 155908   1900  73356   16  548    16   548 1507 3344 32 13 55  0  0
 1  0 156424 155908   1900  73356  152    0   152     0 1434 3399 31 12 57  0  0
 2  0 156424 155908   1900  73356   64    0    64     0 1221 2823 28 11 61  0  0
 4  0 156424 155908   1900  73356   16    0    20    20 1328 3191 34 11 55  0  0
 2  0 156424 155908   1900  73356  584    0   632    20 1544 3705 34 10 55  1  0
 1  0 156424 155908   1900  73356   92 5416   100  5416 1645 3387 27 18 55  0  0
 2  0 156424 155908   1900  73356   60    0    60     0 1314 3275 35 10 55  0  0
 1  0 156424 155908   1900  73356  112    0   144     0 1196 2905 39  6 55  0  0
 1  0 156424 155908   1900  73356  548    0   656    20 1209 3009 31  8 61  0  0
 2  0 156424 155908   1900  73356  192 1708   200  3952 1266 3255 39  9 52  0  0
 1  0 156424 155908   1900  73356   32    0    32     0 1080 2794 28  7 64  0  0
 2  0 156424 155908   1900  73356   56    0    56     0 1141 3138 34  8 58  0  0
 1  0 156424 155908   1900  73356   84    0    84     0 1199 3335 32 14 54  0  0
 1  0 156424 155908   1900  73356   84    0    84    32 1121 3086 29 10 62  0  0
 2  0 156424 155908   1900  73356 5200 1888  5312  1908 2095 5013 54 12 32  2  0
 4  0 156424 155908   1900  73356 3388 14940  3388 14940 2010 3886 41 13 46  1  0
 1  0 156424 155908   1900  73356 1336    0  1336     0 1152 3161 30 10 59  0  0
 3  0 156424 155908   1900  73356  112    0   112     0 1085 3104 35  8 57  0  0
 1  0 156424 155908   1900  73356   96    0    96    20 1085 3146 34  7 59  0  0
 1  0 156424 155908   1900  73356  140  704   140   704 1050 3092 31  9 60  0  0
 3  0 156424 155908   1900  73356   36 1072    44  1092 1112 2994 29 13 58  0  0
 1  0 156424 155908   1900  73356   28    0    28     0 1066 3082 33  8 59  0  0
 1  0 156424 155908   1900  73356  772    0   788     0 1201 3365 31  7 63  0  0
 1  0 156424 155908   1900  73356  880 3936   880  3956 1451 3423 32 12 55  1  0
 1  0 156424 155908   1900  73356  244    0   352     0 1080 3034 32  9 59  0  0
 3  0 156424 155908   1900  73356 1076    0  1076    20 1191 3298 35  8 56  0  0
 5  0 156424 155908   1900  73356   60    0    60     0  964 2698 29  7 63  1  0
 1  0 156424 155908   1900  73356   36    0    36     0 1115 3264 29 10 61  0  0
 1  0 156424 155908   1900  73356  248    0   764    20 1060 2968 30  7 63  0  0
 1  0 156424 155908   1900  73356  360 1836   604  3292 1233 3142 27  9 64  0  0
 1  0 156424 155908   1900  73356  168    0   168     0 1078 2992 21  7 71  0  0
MEDIA
NR:  158 CPU:  42.3526
