procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 5  0 267744 134344   2940  54720  184  210  2895   221  295  557  4  2 95  0  0
 1  0 267744 134344   2940  54720  768    0   768     0 1321 2352 30  8 61  1  0
 2  0 267744 134344   2940  54720    0    0     0     0 1408 2656 29  9 62  0  0
 4  0 267744 134344   2940  54720 1144  188 28068   188 2348 7578 72 20  7  1  0
 6  0 267744 134344   2940  54720   20 18096  6676 18096 3632 5707 79 20  0  1  0
 7  0 267744 134344   2940  54720  768 2596  5248  2652 2163 6352 87 13  0  0  0
 1  0 267744 134344   2940  54720  852    0  1388     0 1675 4302 44  4 52  0  0
 1  0 267744 134344   2940  54720    8    0   272     0 1381 3795 39  5 56  0  0
 2  0 267744 134344   2940  54720   92    0    92    40 1644 4502 44  5 51  0  0
 1  0 267744 134344   2940  54720  580 1756   580  2304 1870 4917 36 10 53  1  0
 1  0 267744 134344   2940  54720 2100    0  2180    36 2173 5878 49 12 39  0  0
 1  0 267744 134344   2940  54720   12    0    12     0 1508 4620 33  9 58  0  0
 2  0 267744 134344   2940  54720  228    0  1128     0 1897 5601 42 10 48  0  0
 4  0 267744 134344   2940  54720    8    0     8     0 1573 4732 40  7 53  0  0
 2  0 267744 134344   2940  54720 1204    0  1232    20 1835 5629 39  9 51  1  0
 1  0 267744 134344   2940  54720    0    0     4    24 1791 5458 36  9 55  0  0
 2  0 267744 134344   2940  54720   40    0    40     0 1678 5077 35 10 55  0  0
 1  0 267744 134344   2940  54720  200    0   200     0 1680 5082 37  4 59  0  0
 1  0 267744 134344   2940  54720  456 3388   836  3388 2091 5382 40 11 49  0  0
 2  0 267744 134344   2940  54720   20  664    24   664 1893 5661 37 12 51  0  0
 3  0 267744 134344   2940  54720    4    0    32    36 1343 4034 28 10 63  0  0
 2  0 267744 134344   2940  54720  484    0   484     0 1427 4195 39  5 56  0  0
 1  0 267744 134344   2940  54720    0    0    40     0 1437 4300 34  9 57  0  0
 1  0 267744 134344   2940  54720  268    0   276     0 1306 3782 33  9 58  0  0
 2  0 267744 134344   2940  54720  412    0  1828     0 1517 4571 36  7 57  0  0
 1  0 267744 134344   2940  54720    0    0     0    36 1453 4502 28  7 65  0  0
 5  0 267744 134344   2940  54720  252    0   308     0 1454 4200 37 13 49  1  0
 7  0 267744 134344   2940  54720  256 1968 13476  4688 2250 4701 55 17 28  0  0
 1  0 267744 134344   2940  54720  808    4 44940   156 2457 4756 37 21 42  0  0
 4  0 267744 134344   2940  54720    4  636 28612   644 2245 5171 39 17 43  0  0
 2  0 267744 134344   2940  54720  576  540 40940   884 2768 5360 41 20 38  1  0
 8  0 267744 134344   2940  54720  392  328 54332   340 3127 5690 41 23 36  0  0
 2  0 267744 134344   2940  54720  232  116 57844   516 3075 5480 40 24 37  0  0
 8  0 267744 134344   2940  54720  380  488 41012   712 2773 5410 41 26 33  1  0
 7  0 267744 134344   2940  54720  448  332 60792   436 3150 5542 38 22 39  0  0
 8  0 267744 134344   2940  54720  564  556 42548   788 2901 5822 42 21 38  0  0
 7  0 267744 134344   2940  54720    8    4 49084    20 2865 5104 44 19 37  0  0
 3  0 267744 134344   2940  54720  260  256 47872   608 2826 5232 39 20 41  0  0
 1  0 267744 134344   2940  54720  300    0 48696   204 2587 4819 35 21 43  1  0
 1  0 267744 134344   2940  54720  328  308 59136   488 3161 5400 42 20 39  0  0
 1  0 267744 134344   2940  54720   76  380 45932   620 2705 4983 32 26 43  0  0
 1  0 267744 134344   2940  54720  420  348 63740   352 3294 5403 39 22 38  0  0
 1  0 267744 134344   2940  54720  384  360 77684   696 3560 5235 32 31 37  1  0
 3  0 267744 134344   2940  54720    0    0 57484   192 2879 4951 36 25 38  0  0
 6  0 267744 134344   2940  54720  152  164 113464   448 4380 5499 39 33 27  0  0
 1  0 267744 134344   2940  54720  180  180 91096   476 3664 5230 40 29 29  1  0
 2  0 267744 134344   2940  54720    0    4 82376   240 3703 5451 42 25 33  0  0
 3  0 267744 134344   2940  54720   92   96 45500   228 2522 4908 40 20 40  0  0
 3  0 267744 134344   2940  54720  220  216 105428   536 4221 5555 45 30 26  0  0
 2  0 267744 134344   2940  54720   88    4 147144   312 4943 5853 31 43 25  0  0
 8  0 267744 134344   2940  54720  552  488 163492   888 5002 5386 33 45 22  0  0
 9  0 267744 134344   2940  54720  212  276 125832   580 4708 6411 38 40 22  1  0
 3  0 267744 134344   2940  54720  392  432 114576   712 4403 6671 44 31 26  0  0
11  0 267744 134344   2940  54720   24   32 99800   332 3869 5321 29 32 39  0  0
15  0 267744 134344   2940  54720   16    4 483004   448 8814 6404  3 97  0  0  0
10  0 267744 134344   2940  54720  304  508 423684   964 8500 5935 13 87  0  0  0
 8  0 267744 134344   2940  54720 1616 1468 99200  1772 5494 7488 67 33  0  0  0
 5  0 267744 134344   2940  54720 1708 1636 53700  1804 4436 7336 70 29  0  1  0
 8  0 267744 134344   2940  54720  508  600 32680   892 2579 4203 38 21 42  0  0
11  0 267744 134344   2940  54720  116   88 18908   244 2270 4493 36 16 47  0  0
 6  0 267744 134344   2940  54720  676 1044 24572  1300 2928 5125 43 21 36  1  0
 6  0 267744 134344   2940  54720  168  268 31780   468 2886 4938 35 21 44  0  0
 1  0 267744 134344   2940  54720    0    0 37512     4 2968 5112 38 21 40  0  0
 2  0 267744 134344   2940  54720  360  316 29548   328 2814 4977 37 20 42  1  0
 1  0 267744 134344   2940  54720  452    0  6636     0 2483 5082 43 17 40  0  0
 1  0 267744 134344   2940  54720  216    0   916    32 2610 5904 42 14 43  0  0
 1  0 267744 134344   2940  54720    0    0   912     0 2340 4679 55 11 34  0  0
 1  0 267744 134344   2940  54720 1408  780  1660  1520 2477 4977 50 17 33  0  0
 1  0 267744 134344   2940  54720  620    0   804     0 2038 4908 43  9 46  1  0
 2  0 267744 134344   2940  54720   60 2008   172  2312 2228 5261 43 13 45  0  0
 4  0 267744 134344   2940  54720  976    0  1924    32 2023 4916 41 12 48  0  0
 1  0 267744 134344   2940  54720  920    0  1264     0 1935 4936 44 11 44  1  0
 1  0 267744 134344   2940  54720  708    0  1072     0 1826 4910 38 11 51  0  0
 3  0 267744 134344   2940  54720   28    0  2524     0 1647 4411 41  8 51  0  0
 2  0 267744 134344   2940  54720 1728 3616  1932  3616 2390 5204 47 14 38  1  0
 4  0 267744 134344   2940  54720 1120    0  1588    16 1909 5483 47  9 44  0  0
 1  0 267744 134344   2940  54720    0    0    76     0 1504 4270 42  8 50  0  0
 1  0 267744 134344   2940  54720    0    0   248     0 1434 4213 35 12 53  0  0
 3  0 267744 134344   2940  54720   16    0    84     0 1471 4332 42  8 50  0  0
 3  0 267744 134344   2940  54720 1648    0  1648     0 1734 4857 39 12 49  1  0
 3  0 267744 134344   2940  54720   12    0    24    12 1489 4534 41  7 52  0  0
 1  0 267744 134344   2940  54720  796    0   796     0 1659 4785 43  9 47  0  0
 1  0 267744 134344   2940  54720  216    0   900     0 1574 4577 37 13 49  0  0
 2  0 267744 134344   2940  54720  324 3612   656  5612 1994 4490 40 12 49  0  0
 1  0 267744 134344   2940  54720  688    0   912     0 1526 4190 44  6 50  0  0
 2  0 267744 134344   2940  54720   96    0   344    28 1484 4371 36 13 51  0  0
 3  0 267744 134344   2940  54720    8    0     8     0 1607 4649 42  9 49  0  0
 2  0 267744 134344   2940  54720   20    0   184     0 1470 4288 40 11 48  0  0
 2  0 267744 134344   2940  54720  148    0   304     0 1622 4602 38 13 49  1  0
 6  0 267744 134344   2940  54720  608    0   748     0 1740 4890 46 11 42  0  0
 3  0 267744 134344   2940  54720   36    0   232    12 1577 4706 43  8 50  0  0
 1  0 267744 134344   2940  54720  288    0   352     0 1514 4410 58  6 36  0  0
 2  0 267744 134344   2940  54720   92    0  1320     0 1592 4505 42 13 45  0  0
 1  0 267744 134344   2940  54720   20    0   200     0 1476 4273 40 10 50  0  0
 1  0 267744 134344   2940  54720   12    0  1028     0 1536 4433 42 12 46  0  0
 2  0 267744 134344   2940  54720  404    0   404    12 1456 4224 40 10 49  1  0
 2  0 267744 134344   2940  54720  356    0   356     0 1554 4280 42 13 45  0  0
 1  0 267744 134344   2940  54720  196    0   348     0 1545 4275 44  8 48  0  0
 1  0 267744 134344   2940  54720  116    0   116     0 1655 4826 38 13 50  0  0
 2  0 267744 134344   2940  54720  344    0   344     0 1674 4867 42  9 48  0  0
 1  0 267744 134344   2940  54720  100    0   100    12 1637 4702 42 12 47  0  0
 1  0 267744 134344   2940  54720   88 3208    92  5684 1952 4361 40 13 47  0  0
 4  0 267744 134344   2940  54720  120    0   272     0 1468 4295 38 11 51  0  0
 2  0 267744 134344   2940  54720   16    0    16     0 1523 4544 38  8 54  0  0
 1  0 267744 134344   2940  54720  412    0   412     4 1606 4260 47 11 42  0  0
 2  0 267744 134344   2940  54720  200    0   332    32 1434 4112 46  6 48  1  0
